id,title,author,description,price,categories
17,The Purpose Driven Life,Rick Warren,The Purpose Driven Life is a bible study book written by Christian pastor Rick Warren and published by Zondervan in 2002. The book offers readers a 40-day personal spiritual journey and presents what Warren says are God's five purposes for human life on Earth.,54.0,"['Christianity', 'Religion and Spirituality']"
18,"Boundaries: When to Say Yes, How to Say No to Take Control of Your Life",Henry Cloud and John Townsend,Healthy relationships and sound living depend on maintaining smart personal boundaries. But many people don't know where to start. Here's where -- with Boundaries Zondervan Group Resource,120.0,['Religion and Spirituality']
19,The Imitation of Christ,Thomas à Kempis,"The Imitation of Christ is a Christian devotional book by Thomas à Kempis, first composed in Medieval Latin c. 1418–1427. It is a handbook for spiritual life arising from the Devotio Moderna movement, of which Kempis was a member",32.0,"['Christianity', 'Religion and Spirituality']"
21,"No God but God: The Origins, Evolution, and Future of Islam",Reza Aslan,"One of the most influential books in the history of literature, recognized as the greatest literary masterpiece in Arabic, the Qur'an is the supreme authority and living source of all Islamic teaching, the sacred text that sets out the creed, rituals, ethics, and laws of Islam.",25.0,"['Islamic', 'Religion and Spirituality']"
25,Dune,Frank Herbert,"Dune is a 1965 science-fiction novel by American author Frank Herbert, originally published as two separate serials in Analog magazine. It tied with Roger Zelazny's This Immortal for the Hugo Award in 1966, and it won the inaugural Nebula Award for Best Novel.",39.99,"['Science Fiction', 'Fiction']"
22,Destiny Disrupted: A History of the World Through Islamic Eyes,Tamim Ansary,"In Destiny Disrupted, Ansary tells the rich story of world history as it looks from that other perspective. With the evolution of the Muslim community at the center, his story moves from the lifetime of Mohammed through a succession of far-flung empires, to the struggles and ideological movements that have wracked the Muslim world in recent centuries, to the tangle of modern conflicts that culminated in the events of 9/11. He introduces the key people, events, ideas, legends, religious disputes, and turning points of world history from that other perspective, recounting not only what happened but how those events were interpreted and understood in that framework. He clarifies why these two great civilizations grew up oblivious to each other, what happened when they intersected, and how the Islamic world was affected by its slow recognition that Europe - a place it long perceived as primitive - had somehow hijacked destiny.",29.99,"['Islamic', 'Religion and Spirituality']"
26,The Left Hand of Darkness,Ursula K. Le Guin,"The Left Hand of Darkness is a science fiction novel by U.S. writer Ursula K. Le Guin. Published in 1969, it became immensely popular, and established Le Guin's status as a major author of science fiction.",29.99,"['Science Fiction', 'Fiction']"
27,The Martian,Andy Weir,The Martian is a 2011 science fiction novel written by Andy Weir. It was his debut novel under his own name. It was originally self-published in 2011; Crown Publishing purchased the rights and re-released it in 2014.,35.0,"['Science Fiction', 'Fiction']"
28,Frankenstein,Mary Shelley,"Frankenstein; or, The Modern Prometheus is an 1818 novel written by English author Mary Shelley. Frankenstein tells the story of Victor Frankenstein, a young scientist who creates a sapient creature in an unorthodox scientific experiment",42.0,"['Horror', 'Fiction']"
29,The Haunting of Hill House,Shirley Jackson,"The Haunting of Hill House is a 1959 gothic horror novel by American author Shirley Jackson. A finalist for the National Book Award and considered one of the best literary ghost stories published during the 20th century, it has been made into two feature films and a play, and is the basis of a Netflix series.",65.0,"['Horror', 'Fiction']"
30,It,Stephen King,It is a 1986 horror novel by American author Stephen King. It was his 22nd book and his 17th novel written under his own name. The story follows the experiences of seven children as they are terrorized by an evil entity that exploits the fears of its victims to disguise itself while hunting its prey.,24.0,"['Horror', 'Fiction']"
31,The Shining,Stephen King,The Shining is a 1977 horror novel by American author Stephen King. It is King's third published novel and first hardback bestseller; its success firmly established King as a preeminent author in the horror genre,59.99,"['Horror', 'Fiction']"
33,"Red, White and Royal Blue",Casey McQuiston,"Red, White & Royal Blue is a 2019 LGBT romance novel by Casey McQuiston. The novel centres around the character of Alex Claremont-Diaz, the First Son of the United States, and his relationship with Prince Henry, a British prince",51.99,"['Romance', 'Nonfiction']"
34,Jane Eyre,Charlotte Brontë,"Jane Eyre is a novel by English writer Charlotte Brontë, published under the pen name \""Currer Bell\"", on 16 October 1847, by Smith, Elder & Co. of London. The first American edition was published the following year by Harper & Brothers of New York.",75.0,"['Romance', 'Nonfiction']"
35,The Hating Game: A Novel,Sally Thorne,"Sally Thorne lives in Canberra, Australia and spends her days writing funding submissions and drafting contracts (yawn!) so it's not surprising that after hours she climbs into colorful fictional worlds of her own creation. Sally believes that romance readers are always searching for intensity in their next favorite book - and it isn't always so easy to find.",45.0,"['Romance', 'Fiction']"
36,"Carry On, Jeeves",P. G. Wodehouse,"Carry On, Jeeves is a collection of ten short stories by P. G. Wodehouse. It was first published in the United Kingdom on 9 October 1925 by Herbert Jenkins, London, and in the United States on 7 October 1927 by George H. Doran, New York",21.0,"['Romance', 'Nonfiction']"
37,A Confederacy of Dunces,John Kennedy Toole,"A Confederacy of Dunces is a picaresque novel by American novelist John Kennedy Toole which reached publication in 1980, eleven years after Toole's suicide.",42.0,"['History', 'Nonfiction']"
38,Bossypants,Tina Fey,"Bossypants is an autobiographical comedy book written by the American comedian Tina Fey. The book topped The New York Times Best Seller list, and stayed there for five weeks upon its release. As of November 2014, the book has sold over 2.5 million copies since its debut, according to Nielsen BookScan",45.0,"['History', 'Nonfiction']"
39,Cold Comfort Farm,Stella Gibbons,"Cold Comfort Farm is a comic novel by English author Stella Gibbons, published in 1932. It parodies the romanticised, sometimes doom-laden accounts of rural life popular at the time, by writers such as Mary Webb.",36.0,"['History', 'Nonfiction']"
3,My Dark Vanessa,Kate Elizabeth,"Bright, ambitious, and yearning for adulthood, fifteen-year-old Vanessa Wye becomes entangled in an affair with Jacob Strane, her magnetic and guileful forty-two-year-old English teacher. 2017. Amid the rising wave of allegations against powerful men, a reckoning is coming due.",19.99,"['Romance', 'Fiction', 'Others']"
5,Hands-On Machine Learning with Scikit-Learn and Keras,Aureilien Gideon,"Through a series of recent breakthroughs, deep learning has boosted the entire field of machine learning. Now, even programmers who know close to nothing about this technology can use simple, efficient tools to implement programs capable of learning from data. This practical book shows you how.\r\n\r\nBy using concrete examples, minimal theory, and two production-ready Python frameworks—Scikit-Learn and TensorFlow—author Aurélien Géron helps you gain an intuitive understanding of the concepts and tools for building intelligent systems. You’ll learn a range of techniques, starting with simple linear regression and progressing to deep neural networks. With exercises in each chapter to help you apply what you’ve learned, all you need is programming experience to get started.",59.99,"['Academic', 'For Student']"
12,Salman Rushdie,Kingston Gabin,"Salman Rushdie, in full Sir Ahmed Salman Rushdie, (born June 19, 1947, Bombay [now Mumbai], India), Indian-born British writer whose allegorical novels examine historical and philosophical issues by means of surreal characters, brooding humour, and an effusive and melodramatic prose style. His treatment of sensitive religious and political subjects made him a controversial figure.\r\n\r\nRushdie was the son of a prosperous Muslim businessman in India. He was educated at Rugby School and the University of Cambridge, where he received an M.A. degree in history in 1968. Throughout most of the 1970s he worked in London as an advertising copywriter. His first published novel, Grimus, appeared in 1975. Rushdie’s next novel, Midnight’s Children (1981), a fable about modern India, was an unexpected critical and popular success that won him international recognition. A film adaptation, for which he drafted the screenplay, was released in 2012.",29.99,"['Nonfiction', 'Islamic']"
14,Capitalism and Freedom,Milton FriedMan,"Capitalism and Freedom (1962) is a passionate but carefully reasoned summary of Friedman's philosophy of political and economic freedom, and it has become perhaps his most directly influential work. Freedom, for Friedman, is the ultimate good in a society – the marker and aim of true civilisation.",34.0,['Business']
16,Calculus for Dummies,Mark Ryan,"The mere thought of having to take a required calculus course is enough to make legions of students break out in a cold sweat. Others who have no intention of ever studying the subject have this notion that calculus is impossibly difficult unless you happen to be a direct descendant of Einstein. Well, the good news is that you can master calculus. It's not nearly as tough as its mystique would lead you to think. Much of calculus is really just very advanced algebra, geometry, and trig. It builds upon and is a logical extension of those subjects. If you can do algebra, geometry, and trig, you can do calculus.",51.99,"['Mathematics', 'For Student']"
20,Ar-Raheeq Al-Makhtum,Safiur Rahman,"A complete authoritative book on the life of Prophet Muhammad (S) by Sheikh Safi-ur-Rahman al-Mubarkpuri. It was honored by the World Muslim League as first prize winner book. Whoever wants to know the whole life style of the Prophet in detail must read this book.Muhammad (S) is the Messenger of Allah, and those who are with him, are severe against the disbelievers, and merciful among themselves. You see them bowing and falling down prostrate (in prayer), seeking bounty from Allah and (His) Good Pleasure. The mark of them (i.e. of their Faith) is on their faces (fore heads) from the traces of prostration (during prayers). This is their description in the Taurdt (Torah). But their description in the Injeel (Gospel) is like a (sown) seed which sends forth its shoot, then makes it strong, and becomes thick and it stands straight on its stem, delighting the sowers, that He may enrage the disbelievers with them. Allah has promised those among them who believe and do righteous good deeds, forgiveness and a mighty reward (Paradise). (Al-Fath: 29)The Prophet Muhammad (S) said: \""The example of guidance and knowledge with which Allah has sent me is like abundant rain falling on the earth. Some of which was fertile soil that absorbed rain-water and brought forth vegetation and grass in abundance. (And) another portion of it was hard and held the rain-water and Allah benefited the people with it and they utilized it for drinking, (making their animals drink from it) and to irrigate the land for cultivation. (And) a portion of it was barren which could neither hold the water nor bring forth vegetation (then that land gave no benefits). The first is the example of the person who comprehends Allah's Religion (Islam) and gets benefit (from the knowledge) which Allah (Azawajal) has revealed through me (the Prophet ) and learns and then teaches it to others. The (last example is that of a) person who does not care for it and does not take Allah's Guidance revealed through me (he is like that barren land).\"" (Al-Mukarramah)",55.0,"['Islamic', 'Religion and Spirituality']"
24,The Art of Happiness,Dalai Lama XIV,"Nearly every time you see him, he's laughing, or at least smiling. And he makes everyone else around him feel like smiling. He's the Dalai Lama, the spiritual and temporal leader of Tibet, a Nobel Prize winner, and an increasingly popular speaker and statesman. What's more, he'll tell you that happiness is the purpose of life, and that \""the very motion of our life is towards happiness.\"" How to get there has always been the question. He's tried to answer it before, but he's never had the help of a psychiatrist to get the message across in a context we can easily understand. Through conversations, stories, and meditations, the Dalai Lama shows us how to defeat day-to-day anxiety, insecurity, anger, and discouragement. Together with Dr. Cutler, he explores many facets of everyday life, including relationships, loss, and the pursuit of wealth, to illustrate how to ride through life's obstacles on a deep and abiding source of inner peace.",45.0,['Religion and Spirituality']
32,Pride and Prejudice,Jane Austen,"Pride and Prejudice is an 1813 romantic novel of manners written by Jane Austen. The novel follows the character development of Elizabeth Bennet, the dynamic protagonist of the book who learns about the repercussions of hasty judgments and comes to appreciate the difference between superficial goodness and actual goodness. Its humour lies in its honest depiction of manners, education, marriage, and money during the Regency era in England.",39.0,"['Romance', 'Fiction']"
23,The Alchemist,Paulo Coelho,"Paulo Coelho's enchanting novel has inspired a devoted following around the world. This story, dazzling in its powerful simplicity and soul-stirring wisdom, is about an Andalusian shepherd boy named Santiago who travels from his homeland in Spain to the Egyptian desert in search of a treasure buried near the Pyramids. Along the way he meets a Gypsy woman, a man who calls himself king, and an alchemist, all of whom point Santiago in the direction of his quest. No one knows what the treasure is, or if Santiago will be able to surmount the obstacles in his path. But what starts out as a journey to find worldly goods turns into a discovery of the treasure found within. Lush, evocative, and deeply humane, the story of Santiago is an eternal testament to the transforming power of our dreams and the importance of listening to our hearts.",24.0,"['History', 'Nonfiction']"
